timestamp,p_noise,qber,qkd_abort,key_b_len,p1,H_bin,H_inf,enc_time_s,dec_time_s,file_size_bytes,Original File Size (bytes)
2026-01-29T16:02:00,0.01,0.03,False,128,0.52,0.89,0.65,0.22,0.19,2048,2048
2026-01-29T16:03:00,0.02,0.04,False,128,0.51,0.87,0.63,0.21,0.18,2048,2048
2026-01-29T16:04:00,0.03,0.08,True,128,0.49,0.85,0.61,0.20,0.17,2048,2048
2026-01-29T16:05:00,0.04,0.12,True,128,0.47,0.82,0.58,0.19,0.16,2048,2048
2026-04-14T13:42:21,,0.0,False,109,,,,0.7637,,12556
2026-04-14T13:42:22,,0.0,False,106,,,,0.9569,,324615
2026-04-14T13:42:23,,0.0,False,104,,,,0.9917,,894190
2026-04-14T13:42:25,,0.0,False,89,,,,1.3049,,1667712
2026-04-14T13:44:46,,0.0,False,94,,,,0.9707,,12556
2026-04-14T13:44:47,,0.0,False,110,,,,0.9557,,324615
2026-04-14T13:44:48,,0.0,False,111,,,,0.9671,,894190
2026-04-14T13:44:49,,0.0,False,104,,,,1.2502,,1667712
2026-04-14T13:54:23,,0.0,False,107,,,,1.366,,10240
2026-04-14T13:54:24,,0.0,False,104,,,,0.7144,,204800
2026-04-14T13:54:25,,0.0,False,99,,,,0.8963,,512000
2026-04-14T13:54:26,,0.0,False,108,,,,1.9002,,2097152
2026-04-14T14:32:35,,0.0,False,98,,,,0.6235,,10240
2026-04-14T14:32:35,,0.0,False,109,,,,0.4837,,204800
2026-04-14T14:32:36,,0.0,False,110,,,,0.6763,,512000
2026-04-14T14:32:37,,0.0,False,118,,,,1.3942,,2097152
2026-04-14T14:32:38,,0.0,False,93,,,,0.4896,,10240
2026-04-14T14:32:38,,0.0,False,104,,,,0.5906,,204800
2026-04-14T14:32:39,,0.0,False,97,,,,0.6045,,512000
2026-04-14T14:32:40,,0.0,False,108,,,,1.0881,,2097152
2026-04-14T14:44:27,,0.0,False,96,,,,0.4592,,10240
2026-04-14T14:44:27,,0.0,False,98,,,,0.4762,,204800
2026-04-14T14:44:28,,0.0,False,108,,,,0.6486,,512000
2026-04-14T14:44:29,,0.0,False,104,,,,1.065,,2097152
2026-04-14T14:44:30,,0.0,False,106,,,,0.4395,,10240
2026-04-14T14:44:30,,0.0,False,106,,,,0.4195,,204800
2026-04-14T14:44:31,,0.0,False,92,,,,0.9848,,512000
2026-04-14T14:44:32,,0.0,False,104,,,,0.9984,,2097152
2026-04-14T14:48:20,,0.0,False,99,,,,0.5635,,10240
2026-04-14T14:48:21,,0.0,False,110,,,,0.6713,,204800
2026-04-14T14:48:21,,0.0,False,101,,,,0.5179,,512000
2026-04-14T14:48:22,,0.0,False,106,,,,1.0412,,2097152
2026-04-14T14:48:23,,0.0,False,104,,,,0.5623,,10240
2026-04-14T14:48:23,,0.0,False,97,,,,0.448,,204800
2026-04-14T14:48:24,,0.0,False,109,,,,0.6023,,512000
2026-04-14T14:48:25,,0.0,False,99,,,,1.234,,2097152
2026-04-14T14:55:52,,0.0,False,112,,,,0.7371,,10240
2026-04-14T14:55:52,,0.0,False,101,,,,0.5798,,204800
2026-04-14T14:55:53,,0.0,False,104,,,,0.6301,,512000
2026-04-14T14:55:54,,0.0,False,112,,,,1.522,,2097152
2026-04-14T14:55:55,,0.103448,False,118,,,,0.5714,,10240
2026-04-14T14:55:56,,0.2,False,101,,,,0.8137,,204800
2026-04-14T14:55:56,,0.0,False,96,,,,0.691,,512000
2026-04-14T14:55:58,,0.125,False,98,,,,1.8344,,2097152
